Monomer,Radical,DE_tail,DE_head,DE_precursor,DE_TS,DE_product,DE_barrier,DE_reaction,E_Rad_SOMO,E_Rad_LUMO,E_Mon_HOMO,E_Mon_LUMO,DE_SHgap,DE_SLgap,VBur_R228_Rad,VBur_R350_Rad,VBur_R228_Mon,VBur_R350_Mon,Volume_Rad,Volume_Mon,CCdist_TS,Theta_TS,Sum_MW,logP_Rad,logP_Mon
C=C(C)C(=O)OC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0177658801579809,-0.0055465595439727,-0.0378855436429148,0.0122193206140082,-0.0201196634849338,-0.214231645,0.0445721163,-0.273330301,-0.0453630638,0.059098656,0.1688685812,84.7794511892745,44.03276511143535,95.1832431738488,66.36034939799293,103.2494,79.4279,2.2548823577707995,257.9469904885853,215.1283340864,1.0,1.0
C=C(C)C(=O)OCC1CO1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0180002967659902,-0.0107328517240148,-0.0424749036400271,0.0072674450419754,-0.0244746068740369,-0.214231645,0.0445721163,-0.275241871,-0.0527995787,0.061010226,0.1614320663,84.78373051334268,44.05448414510542,95.1832431738488,66.36034939799293,103.2494,107.5701,2.275803352248168,302.56111426434063,257.13889877,1.0,0.6
C=Cc1ccccc1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0148667447369916,-0.0027424351969784,-0.0383690889419767,0.0121243095400132,-0.023502344204985,-0.214231645,0.0445721163,-0.230830579,-0.0422251322,0.016598934,0.1720065128,83.82566537196136,39.74979951661228,95.1832431738488,66.36034939799293,103.2494,89.4457,2.2961485936186707,59.896560950075695,219.1385048472,1.0,2.7
CO/C=C\C(=O)OC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0229127486138622,-4.4704383867610886e-05,-0.0214255130368883,0.0228680442299946,0.0014872355769739,-0.214231645,0.0445721163,-0.24217706,-0.0310365737,0.027945415,0.1831950713,89.37469006366125,50.469674103115295,95.1832431738488,66.36034939799293,103.2494,91.9763,2.134127030509899,176.30309749188666,231.123248706,1.0,0.2
C=C(C)C(=O)O,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0129395530669853,0.0072157579410259,-0.0245937306630139,0.0201553110080112,-0.0116541775960286,-0.214231645,0.0445721163,-0.278312543,-0.0495002213,0.064080898,0.1647314237,84.78222016367157,44.04000478932537,95.1832431738488,66.36034939799293,103.2494,69.6661,2.2590673665625824,68.17882012065559,201.11268402239995,1.0,0.7
C=C(C)C(=O)OCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.017123168757962,-0.0058550750690073,-0.0393751286600263,0.0112680936889546,-0.0222519599020643,-0.214231645,0.0445721163,-0.272568334,-0.0450012952,0.058336689,0.1692303498,84.78247188861675,44.063116068743525,95.1832431738488,66.36034939799293,103.2494,91.9585,2.2726655286491235,173.84187495375102,229.14398415039997,1.0,1.3
C=C(C)C(=O)OCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0155481895830007,-0.0039006401990491,-0.0377714783520559,0.0116475493839516,-0.0222232887690552,-0.214231645,0.0445721163,-0.271155121,-0.0448295241,0.056923476,0.1694021209,84.70166818121176,43.87857389483533,95.1832431738488,66.36034939799293,103.2494,123.7497,2.273807514008167,173.73704279777928,257.1752842784,1.0,2.2
C=C(C)C(=O)OCC(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0178174323898474,-0.0057657947978668,-0.0380478654498119,0.0120516375919805,-0.0202304330599645,-0.214231645,0.0445721163,-0.270695275,-0.0435325695,0.05646363,0.1706990755,84.68908193395241,43.71860485838076,95.1832431738488,66.36034939799293,103.2494,126.6436,2.2735008166785424,155.48699248056414,257.1752842784,1.0,2.2
C=C(C)C(=O)OC(C)(C)C,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0176691765969962,-0.0090826573730282,-0.0410273866250463,0.008586519223968,-0.02335821002805,-0.214231645,0.0445721163,-0.268201105,-0.0427574402,0.05396946,0.1714742048,84.7910305367531,44.417442611630264,95.1832431738488,66.36034939799293,103.2494,118.0944,2.273639270884676,179.56880051509324,257.1752842784,1.0,1.9
C=C(C)C(=O)OCC1(CC)COC1,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0208827758139023,-0.011153264225868,-0.0412782311439059,0.0097295115880342,-0.0203954553300036,-0.214231645,0.0445721163,-0.254143357,-0.0442952237,0.039911712,0.1699364213,84.66617496394039,43.910734771616006,95.1832431738488,66.36034939799293,103.2494,152.39669999999998,2.2635084727250305,255.53396769951672,299.18584896199997,1.0,1.7
C=C(C)C(=O)OCC(CC)CCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0186348989381031,-0.003316156431083,-0.035886233387032,0.01531874250702,-0.0172513344489289,-0.214231645,0.0445721163,-0.273401581,-0.0468043534,0.059169936,0.1674272916,84.79405123609534,45.74439203412673,95.1832431738488,66.36034939799293,103.2494,169.66089999999997,2.263344348123149,101.0920026866761,313.23788453440017,1.0,3.9
C=C(C)C(=O)OCCCCCCCCCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0173746449661393,-0.0074531832740376,-0.0417127685570903,0.0099214616921017,-0.024338123590951,-0.214231645,0.0445721163,-0.270840759,-0.0456793768,0.0566091139999999,0.1685522682,84.70217163110213,46.880046890836795,95.1832431738488,66.36034939799293,103.2494,225.40860000000004,2.287389638527945,301.37163669495305,369.3004847904001,1.0,5.6
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,C=C(C)C(=O)OC,0.0385338000849628,0.061518378913945,-0.0160452265879484,-0.0056252719889471,-0.0382418677479563,0.0104199545990013,-0.0221966411600078,-0.214231645,0.0445721163,-0.271005961,-0.0450195085,0.056774316,0.1692121365,84.70343025582807,43.82608623013265,95.1832431738488,66.36034939799293,103.2494,321.3909,2.273859073974023,313.8098216662072,453.3943851744001,1.0,8.1
